"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group D","some college","standard","completed","70","81","83"
"male","group B","high school","standard","completed","90","82","78"
"female","group A","bachelor's degree","free/reduced","completed","81","89","87"
"male","group D","associate's degree","standard","none","48","56","56"
"male","group A","bachelor's degree","standard","none","52","54","47"
"female","group C","some college","standard","none","41","53","55"
"female","group B","high school","standard","completed","66","75","74"
"male","group B","bachelor's degree","free/reduced","none","67","75","67"
"female","group C","associate's degree","free/reduced","none","57","52","60"
"male","group C","associate's degree","standard","completed","63","63","63"
"female","group C","some college","standard","none","76","84","84"
"female","group C","some high school","free/reduced","none","61","78","69"
"male","group E","some college","standard","none","76","77","69"
"female","group D","high school","standard","completed","62","79","74"
"male","group E","some college","free/reduced","none","76","67","64"
"female","group C","associate's degree","free/reduced","none","39","50","47"
"male","group C","high school","free/reduced","none","42","38","39"
"female","group A","master's degree","standard","completed","42","54","60"
"female","group C","some college","standard","completed","80","93","99"
"female","group E","some high school","standard","none","46","46","44"
"female","group E","some college","standard","none","49","49","53"
"female","group B","bachelor's degree","standard","none","77","87","91"
"female","group D","associate's degree","free/reduced","none","68","67","69"
"female","group D","associate's degree","standard","none","53","64","61"
"female","group E","associate's degree","free/reduced","none","56","71","67"
"female","group C","high school","standard","completed","70","85","85"
"male","group E","some college","free/reduced","completed","91","77","80"
"female","group B","some high school","standard","none","65","61","65"
"male","group D","some high school","standard","completed","64","69","70"
"female","group D","bachelor's degree","standard","completed","57","68","67"
"male","group E","associate's degree","standard","none","95","91","86"
"male","group C","high school","standard","none","83","75","70"
"male","group C","associate's degree","standard","none","92","83","77"
"male","group A","some college","free/reduced","completed","44","39","38"
"male","group D","some college","standard","none","64","58","50"
"female","group A","some college","standard","completed","95","96","100"
"male","group C","associate's degree","standard","none","80","85","79"
"male","group C","some high school","free/reduced","none","46","44","39"
"female","group B","bachelor's degree","standard","completed","65","84","80"
"male","group C","bachelor's degree","free/reduced","none","51","53","47"
"female","group E","associate's degree","free/reduced","completed","79","94","93"
"male","group E","some college","standard","none","79","77","77"
"male","group D","high school","standard","completed","73","80","82"
"female","group D","some college","free/reduced","none","65","75","76"
"female","group C","associate's degree","standard","completed","69","79","82"
"female","group C","high school","standard","none","60","62","60"
"female","group B","some high school","standard","none","59","72","67"
"male","group C","some high school","free/reduced","completed","72","79","70"
"female","group A","associate's degree","free/reduced","none","56","65","64"
"male","group C","some college","standard","none","57","56","60"
"female","group C","some college","standard","none","64","74","78"
"male","group B","master's degree","standard","completed","67","67","69"
"male","group D","some high school","free/reduced","none","52","44","42"
"female","group B","some college","free/reduced","none","39","50","43"
"female","group C","some high school","free/reduced","none","56","67","65"
"female","group B","associate's degree","standard","none","62","64","64"
"female","group C","some high school","free/reduced","completed","52","63","63"
"male","group B","associate's degree","standard","none","61","54","48"
"female","group C","high school","free/reduced","none","27","47","43"
"male","group E","associate's degree","standard","none","75","67","70"
"male","group D","some college","free/reduced","none","39","38","29"
"male","group E","some college","standard","none","80","73","74"
"male","group C","some high school","standard","none","59","43","38"
"female","group E","associate's degree","standard","none","67","70","66"
"female","group D","bachelor's degree","free/reduced","none","73","77","83"
"female","group E","high school","free/reduced","none","41","52","46"
"male","group A","associate's degree","free/reduced","none","49","56","53"
"female","group B","high school","free/reduced","none","52","74","69"
"female","group E","associate's degree","standard","none","93","98","96"
"male","group B","high school","standard","none","79","74","75"
"female","group C","bachelor's degree","standard","none","47","51","49"
"male","group B","high school","standard","completed","55","52","55"
"male","group C","high school","free/reduced","none","74","78","68"
"male","group C","associate's degree","free/reduced","completed","63","64","65"
"female","group A","some college","standard","completed","62","81","82"
"female","group D","associate's degree","standard","completed","79","91","92"
"female","group C","high school","standard","none","65","73","67"
"female","group C","some college","free/reduced","completed","56","74","79"
"female","group C","some high school","free/reduced","none","36","51","42"
"male","group B","some high school","standard","completed","100","90","89"
"female","group B","some college","standard","completed","54","70","70"
"male","group D","associate's degree","free/reduced","none","65","71","68"
"female","group E","associate's degree","standard","completed","66","70","72"
"male","group C","some high school","standard","completed","70","68","62"
"male","group E","associate's degree","standard","none","57","48","46"
"female","group D","associate's degree","standard","none","72","79","79"
"female","group B","master's degree","standard","none","88","96","97"
"male","group E","some college","free/reduced","none","89","78","73"
"male","group B","associate's degree","standard","completed","69","78","77"
"female","group C","high school","standard","completed","68","81","83"
"female","group A","master's degree","standard","none","80","99","91"
"male","group B","some college","free/reduced","none","56","51","46"
"female","group E","bachelor's degree","free/reduced","none","66","70","68"
"male","group D","associate's degree","standard","none","70","66","59"
"male","group D","bachelor's degree","standard","completed","71","58","66"
"female","group D","high school","free/reduced","none","44","56","55"
"male","group C","associate's degree","standard","none","68","66","68"
"female","group C","some high school","standard","none","72","83","79"
"female","group C","high school","free/reduced","none","45","46","40"
"female","group B","some college","standard","completed","68","76","76"
"female","group C","master's degree","free/reduced","completed","66","86","83"
"female","group B","associate's degree","standard","none","54","73","63"
"male","group E","high school","standard","none","72","61","62"
"female","group D","high school","standard","none","64","73","77"
"male","group A","some high school","standard","none","55","54","52"
"male","group D","associate's degree","free/reduced","completed","75","72","67"
"female","group B","some college","free/reduced","none","49","71","72"
"male","group B","associate's degree","standard","none","72","71","68"
"female","group E","bachelor's degree","standard","none","88","89","90"
"female","group E","high school","standard","none","75","82","72"
"female","group D","some high school","standard","none","66","82","77"
"female","group C","associate's degree","standard","completed","68","76","75"
"female","group E","some college","standard","none","90","96","95"
"female","group C","bachelor's degree","free/reduced","none","32","42","42"
"female","group C","associate's degree","standard","none","63","68","67"
"male","group D","bachelor's degree","standard","completed","83","75","83"
"male","group B","bachelor's degree","standard","none","90","82","79"
"male","group B","high school","standard","none","66","53","49"
"male","group D","some high school","free/reduced","none","44","37","35"
"male","group C","high school","free/reduced","completed","34","34","26"
"male","group B","some college","standard","none","41","56","46"
"female","group E","associate's degree","standard","none","75","81","73"
"female","group E","associate's degree","standard","none","90","100","90"
"male","group B","associate's degree","standard","none","85","90","83"
"female","group E","bachelor's degree","standard","none","100","100","98"
"male","group D","some college","free/reduced","none","49","55","46"
"male","group D","associate's degree","standard","none","79","78","71"
"male","group C","bachelor's degree","standard","completed","99","98","100"
"female","group D","some high school","free/reduced","none","52","65","62"
"female","group C","some high school","free/reduced","none","56","63","60"
"male","group E","bachelor's degree","free/reduced","none","58","69","65"
"female","group C","bachelor's degree","standard","none","51","55","54"
"female","group B","associate's degree","standard","completed","77","94","97"
"male","group B","some high school","free/reduced","none","42","44","36"
"female","group E","associate's degree","standard","completed","78","88","86"
"female","group E","some college","free/reduced","completed","89","87","88"
"male","group B","some high school","standard","none","88","70","64"
"female","group B","some college","free/reduced","completed","52","68","76"
"male","group C","high school","standard","none","63","62","58"
"female","group D","associate's degree","standard","completed","90","97","100"
"female","group C","some college","free/reduced","none","75","73","72"
"female","group D","some college","free/reduced","completed","57","66","73"
"male","group C","high school","standard","completed","77","71","70"
"female","group C","high school","free/reduced","none","43","54","48"
"male","group A","associate's degree","standard","none","60","61","52"
"female","group B","associate's degree","standard","completed","72","77","77"
"male","group A","some college","free/reduced","none","31","35","27"
"male","group C","some high school","free/reduced","none","59","57","52"
"male","group B","some high school","standard","none","53","39","42"
"female","group C","master's degree","free/reduced","none","57","68","68"
"male","group D","high school","standard","none","70","65","66"
"male","group C","high school","standard","none","61","74","66"
"female","group B","bachelor's degree","standard","none","67","76","73"
"male","group D","high school","free/reduced","completed","52","49","50"
"male","group D","bachelor's degree","standard","none","90","75","73"
"female","group B","some high school","free/reduced","none","60","66","62"
"male","group D","some college","standard","completed","65","63","69"
"female","group B","high school","free/reduced","none","75","87","83"
"male","group D","some high school","standard","none","77","62","69"
"female","group D","some college","standard","none","71","75","81"
"male","group B","high school","standard","none","71","72","68"
"male","group B","high school","standard","none","59","51","51"
"male","group C","some college","free/reduced","none","43","46","40"
"male","group E","high school","standard","none","64","42","47"
"female","group D","some college","free/reduced","none","56","63","66"
"female","group B","some college","free/reduced","none","71","80","76"
"male","group B","high school","free/reduced","none","63","58","59"
"male","group B","associate's degree","free/reduced","none","61","66","62"
"male","group B","master's degree","standard","none","91","84","88"
"female","group D","bachelor's degree","standard","completed","93","100","100"
"female","group C","associate's degree","standard","none","80","83","87"
"male","group C","bachelor's degree","standard","completed","98","93","92"
"female","group B","some high school","standard","none","81","90","86"
"female","group C","associate's degree","standard","none","62","71","71"
"female","group B","associate's degree","free/reduced","none","40","61","57"
