"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group D","high school","standard","none","63","63","58"
"male","group B","bachelor's degree","standard","completed","61","52","48"
"female","group B","associate's degree","standard","none","63","64","65"
"male","group D","master's degree","free/reduced","none","63","67","65"
"female","group D","master's degree","standard","completed","73","88","87"
"male","group B","associate's degree","standard","completed","86","76","84"
"female","group B","some high school","free/reduced","none","32","36","40"
"female","group C","some high school","free/reduced","none","58","77","70"
"male","group D","some high school","standard","none","64","54","57"
"male","group B","high school","standard","none","75","69","66"
"male","group C","associate's degree","free/reduced","none","55","69","66"
"female","group E","some college","standard","none","48","53","47"
"female","group B","high school","standard","completed","36","49","49"
"male","group D","associate's degree","free/reduced","completed","61","55","65"
"female","group E","bachelor's degree","free/reduced","none","73","83","75"
"female","group E","associate's degree","standard","completed","76","80","79"
"female","group B","bachelor's degree","standard","completed","64","61","72"
"male","group C","high school","standard","completed","89","91","87"
"female","group D","some college","free/reduced","completed","65","73","82"
"male","group E","bachelor's degree","standard","none","100","91","89"
"male","group B","high school","free/reduced","completed","80","73","66"
"male","group D","some high school","standard","none","66","67","64"
"male","group C","high school","standard","completed","57","47","51"
"male","group D","high school","free/reduced","none","59","67","60"
"female","group D","high school","free/reduced","completed","74","97","88"
"female","group C","bachelor's degree","standard","none","71","85","86"
"male","group B","high school","free/reduced","completed","57","59","54"
"female","group C","some college","standard","completed","79","83","85"
"female","group C","high school","standard","none","60","73","73"
"male","group C","bachelor's degree","free/reduced","completed","83","82","88"
"male","group D","some college","free/reduced","none","72","66","64"
"female","group C","high school","standard","none","72","83","80"
"female","group D","high school","standard","none","37","48","45"
"female","group E","some college","standard","none","83","82","80"
"male","group C","some high school","free/reduced","none","58","54","48"
"female","group B","high school","free/reduced","completed","51","60","67"
"male","group E","some high school","free/reduced","completed","57","49","48"
"male","group C","associate's degree","free/reduced","completed","59","53","50"
"male","group C","high school","free/reduced","none","56","46","44"
"female","group B","high school","free/reduced","none","31","44","48"
"male","group B","some high school","standard","completed","51","48","54"
"male","group D","high school","standard","completed","81","76","76"
"male","group B","some high school","standard","none","75","62","64"
"female","group C","some high school","standard","completed","86","97","100"
"female","group B","high school","standard","completed","29","39","38"
"male","group C","bachelor's degree","standard","none","98","82","87"
"female","group B","some college","free/reduced","completed","63","77","74"
"female","group D","bachelor's degree","free/reduced","none","57","64","67"
"male","group B","some high school","free/reduced","none","57","68","64"
"female","group A","some college","free/reduced","completed","65","84","85"
"male","group D","high school","standard","none","69","60","55"
"female","group B","high school","free/reduced","none","41","59","53"
"female","group E","associate's degree","standard","none","56","62","58"
"male","group C","bachelor's degree","free/reduced","none","65","75","73"
"male","group D","some high school","standard","none","75","69","73"
"male","group E","bachelor's degree","standard","completed","88","77","77"
"male","group C","bachelor's degree","standard","completed","87","80","80"
"male","group B","bachelor's degree","free/reduced","none","51","46","46"
"female","group B","bachelor's degree","standard","completed","87","100","100"
"male","group C","some high school","standard","none","65","70","59"
"male","group C","associate's degree","standard","completed","67","74","75"
"male","group C","high school","standard","none","48","49","36"
"female","group A","high school","free/reduced","completed","52","56","59"
"male","group D","some college","standard","completed","79","85","77"
"female","group B","bachelor's degree","free/reduced","completed","39","62","64"
"female","group B","some high school","standard","none","64","69","70"
"female","group C","high school","free/reduced","none","48","63","60"
"male","group C","some college","standard","none","70","70","65"
"female","group A","associate's degree","free/reduced","none","67","81","74"
"female","group E","associate's degree","standard","none","92","97","89"
"male","group A","some college","standard","completed","83","76","84"
"female","group C","bachelor's degree","standard","completed","62","84","80"
"female","group C","associate's degree","free/reduced","none","49","54","49"
"male","group D","some college","free/reduced","none","65","73","70"
"male","group A","associate's degree","standard","none","86","74","75"
"female","group B","some college","free/reduced","none","66","68","70"
"female","group D","master's degree","free/reduced","completed","60","66","72"
"male","group C","some college","standard","none","75","68","65"
"male","group C","associate's degree","standard","none","42","49","44"
"male","group D","master's degree","free/reduced","completed","78","81","77"
"male","group B","some college","standard","completed","62","62","62"
"female","group E","associate's degree","free/reduced","none","62","72","72"
"female","group C","bachelor's degree","free/reduced","none","43","53","52"
"female","group A","high school","free/reduced","none","44","56","59"
"female","group C","high school","standard","none","54","65","66"
"male","group C","associate's degree","standard","none","93","79","82"
"male","group B","some high school","free/reduced","none","63","63","63"
"female","group C","high school","free/reduced","completed","42","53","54"
"female","group B","some high school","standard","completed","82","81","87"
"male","group D","associate's degree","standard","none","87","79","76"
"male","group C","some college","standard","completed","93","92","93"
"male","group E","some high school","standard","none","72","69","68"
"female","group E","high school","standard","completed","91","97","100"
"male","group B","high school","free/reduced","none","52","55","44"
"female","group D","associate's degree","free/reduced","none","77","83","88"
"female","group B","some college","free/reduced","none","41","53","47"
"male","group D","some high school","free/reduced","none","45","44","41"
"female","group C","high school","standard","none","73","78","75"
"male","group D","associate's degree","free/reduced","none","79","84","82"
"female","group C","high school","standard","none","93","94","90"
"male","group B","associate's degree","free/reduced","none","80","74","71"
"female","group C","associate's degree","free/reduced","none","42","44","41"
"female","group D","high school","standard","completed","67","75","83"
"female","group B","some college","standard","completed","82","81","83"
"female","group E","master's degree","standard","none","78","81","78"
"male","group B","some high school","standard","none","79","69","66"
"male","group B","high school","standard","none","72","78","64"
"female","group C","associate's degree","free/reduced","none","61","65","66"
"female","group B","high school","free/reduced","completed","73","93","88"
"female","group C","associate's degree","standard","none","84","81","85"
"female","group D","high school","free/reduced","none","55","73","71"
"male","group C","some college","free/reduced","none","67","64","65"
"male","group A","associate's degree","standard","completed","66","70","67"
"male","group C","some high school","standard","completed","74","74","71"
"male","group A","bachelor's degree","standard","completed","88","72","83"
"female","group D","some high school","free/reduced","none","56","62","60"
"male","group E","some high school","free/reduced","none","85","72","70"
"male","group E","bachelor's degree","free/reduced","none","81","84","76"
"male","group D","some college","free/reduced","completed","56","60","64"
"female","group D","bachelor's degree","standard","none","99","99","99"
"female","group C","some college","standard","none","83","85","79"
"male","group A","some high school","standard","none","75","72","65"
"female","group C","some high school","standard","completed","70","81","79"
"female","group E","associate's degree","standard","none","100","100","94"
"female","group C","bachelor's degree","standard","none","64","67","70"
"male","group A","some high school","standard","none","54","47","44"
"male","group C","bachelor's degree","standard","completed","62","62","63"
"male","group C","bachelor's degree","standard","none","84","80","78"
"female","group E","some high school","free/reduced","none","77","73","74"
"female","group C","high school","standard","completed","72","88","85"
"male","group C","bachelor's degree","standard","completed","77","75","75"
"male","group C","associate's degree","free/reduced","none","73","73","76"
"male","group B","some college","standard","none","83","77","75"
"male","group D","master's degree","standard","completed","100","93","95"
"male","group E","some college","standard","none","65","66","61"
"male","group D","bachelor's degree","free/reduced","completed","56","67","67"
"female","group E","high school","free/reduced","completed","72","68","72"
"male","group C","some high school","standard","completed","71","66","67"
"female","group B","bachelor's degree","standard","none","75","73","79"
"male","group E","some college","free/reduced","completed","72","64","64"
"female","group B","associate's degree","free/reduced","completed","49","64","64"
"female","group B","bachelor's degree","standard","completed","84","90","95"
"male","group C","some college","free/reduced","none","53","52","50"
"female","group C","associate's degree","free/reduced","none","34","51","51"
"male","group D","master's degree","free/reduced","completed","57","66","64"
"male","group B","high school","standard","none","75","68","60"
"female","group B","some college","standard","none","67","81","80"
"female","group A","associate's degree","standard","completed","88","96","93"
"male","group C","some college","free/reduced","none","56","66","65"
"male","group E","some high school","free/reduced","completed","84","80","78"
"female","group A","some high school","standard","completed","59","70","68"
"female","group A","some college","free/reduced","completed","47","71","68"
"male","group A","bachelor's degree","standard","none","81","84","86"
"male","group C","some high school","free/reduced","none","70","80","70"
"female","group A","some college","standard","none","79","75","74"
"male","group D","some college","free/reduced","none","51","50","45"
"female","group D","some high school","standard","none","75","75","75"
"male","group C","bachelor's degree","standard","none","67","52","46"
"female","group C","some college","standard","completed","98","96","100"
"female","group A","bachelor's degree","free/reduced","none","62","68","76"
"male","group E","high school","standard","none","95","77","75"
"female","group E","associate's degree","free/reduced","completed","77","81","85"
