"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","associate's degree","standard","none","90","85","86"
"male","group D","some college","standard","completed","59","65","62"
"female","group E","high school","standard","none","78","76","78"
"female","group D","some college","free/reduced","none","73","73","77"
"male","group B","associate's degree","standard","none","43","45","40"
"female","group D","associate's degree","standard","none","51","58","66"
"male","group D","master's degree","standard","none","79","78","72"
"male","group C","master's degree","standard","completed","69","71","71"
"male","group B","high school","free/reduced","none","63","58","52"
"female","group A","some college","free/reduced","none","54","67","59"
"male","group C","some high school","standard","none","63","49","45"
"male","group D","some college","standard","none","69","75","71"
"female","group A","high school","standard","none","72","81","81"
"female","group C","high school","standard","none","51","55","59"
"female","group D","associate's degree","standard","none","83","88","93"
"female","group C","some college","standard","none","51","67","66"
"male","group D","high school","standard","none","96","89","85"
"female","group D","bachelor's degree","free/reduced","completed","90","93","98"
"male","group C","bachelor's degree","free/reduced","completed","79","71","75"
"male","group E","bachelor's degree","standard","none","87","84","80"
"female","group A","some high school","standard","none","47","48","51"
"male","group C","master's degree","standard","none","80","76","75"
"male","group B","associate's degree","standard","none","90","86","86"
"male","group B","high school","free/reduced","completed","39","41","44"
"female","group C","some college","standard","none","61","65","60"
"male","group C","some college","standard","none","68","62","59"
"male","group C","some high school","standard","completed","81","85","83"
"male","group B","bachelor's degree","standard","none","89","84","85"
"male","group D","master's degree","standard","none","78","66","68"
"female","group B","high school","standard","none","77","86","89"
"male","group D","some high school","free/reduced","none","70","68","57"
"female","group E","master's degree","standard","none","81","88","87"
"female","group E","some college","standard","none","61","62","69"
"female","group D","high school","free/reduced","none","40","55","50"
"male","group B","some high school","standard","none","83","66","67"
"male","group B","master's degree","free/reduced","completed","76","75","75"
"male","group B","associate's degree","standard","none","88","84","80"
"female","group B","associate's degree","standard","completed","79","93","92"
"female","group C","associate's degree","free/reduced","completed","62","81","75"
"female","group E","some high school","standard","none","62","69","68"
"female","group C","some high school","free/reduced","completed","60","67","69"
"female","group E","master's degree","free/reduced","none","85","97","90"
"female","group B","some college","standard","none","92","93","91"
"male","group D","some high school","free/reduced","none","38","30","29"
"male","group C","high school","standard","none","83","83","81"
"female","group D","master's degree","standard","completed","84","78","87"
"male","group D","some college","standard","none","54","52","51"
"male","group C","high school","standard","completed","51","43","41"
"male","group A","bachelor's degree","free/reduced","completed","72","74","71"
"male","group D","bachelor's degree","standard","none","50","50","53"
"male","group C","some college","standard","completed","78","88","85"
"male","group D","some college","free/reduced","none","47","47","44"
"male","group E","associate's degree","standard","completed","85","87","81"
"male","group D","bachelor's degree","free/reduced","completed","76","75","82"
"male","group B","bachelor's degree","standard","completed","73","76","74"
"male","group B","bachelor's degree","standard","none","60","51","49"
"male","group C","associate's degree","free/reduced","none","67","52","57"
"male","group C","associate's degree","standard","completed","88","77","74"
"male","group E","associate's degree","standard","none","83","77","74"
"female","group C","master's degree","standard","none","67","73","76"
"male","group B","bachelor's degree","standard","none","73","74","73"
"male","group B","bachelor's degree","standard","completed","74","72","79"
"male","group D","associate's degree","free/reduced","completed","79","79","80"
"male","group B","associate's degree","free/reduced","none","41","39","41"
"male","group A","master's degree","standard","none","75","77","71"
"male","group C","some college","free/reduced","none","59","56","50"
"female","group C","high school","free/reduced","none","49","57","53"
"male","group B","some high school","standard","none","74","70","64"
"female","group D","bachelor's degree","standard","none","55","59","66"
"male","group C","some high school","free/reduced","none","56","65","55"
"male","group E","some high school","free/reduced","none","63","57","52"
"male","group B","associate's degree","standard","completed","71","66","70"
"male","group C","associate's degree","free/reduced","none","58","57","59"
"male","group D","bachelor's degree","standard","none","62","64","61"
"male","group E","associate's degree","standard","none","79","68","62"
"male","group D","some high school","free/reduced","none","66","51","55"
"male","group D","some high school","free/reduced","none","67","68","68"
"female","group C","associate's degree","free/reduced","none","38","57","55"
"female","group E","some college","standard","none","70","75","77"
"male","group C","associate's degree","standard","none","70","66","62"
"female","group D","some college","free/reduced","none","74","86","85"
"female","group E","some college","standard","completed","80","82","80"
"female","group A","some college","free/reduced","none","64","75","75"
"male","group D","some high school","free/reduced","completed","87","86","86"
"male","group A","some college","standard","none","65","69","58"
"female","group D","high school","standard","none","58","62","61"
"female","group E","high school","standard","none","79","70","72"
"female","group C","some college","standard","none","73","89","84"
"female","group B","associate's degree","standard","none","72","81","78"
"male","group A","some college","standard","completed","61","58","57"
"male","group D","high school","standard","none","76","81","67"
"female","group C","some high school","standard","completed","74","75","75"
"female","group C","high school","standard","completed","62","74","69"
"female","group C","some college","standard","none","73","82","83"
"female","group C","some high school","standard","completed","75","97","95"
"female","group D","high school","standard","none","73","82","81"
"female","group C","some high school","free/reduced","completed","40","52","57"
"female","group C","high school","standard","none","72","76","73"
"female","group A","bachelor's degree","standard","none","73","77","86"
"female","group D","some college","standard","none","63","63","70"
"male","group C","some high school","standard","none","62","48","45"
"female","group B","high school","free/reduced","none","65","79","78"
"male","group D","associate's degree","free/reduced","completed","71","78","81"
"female","group A","bachelor's degree","standard","completed","75","87","86"
"female","group E","bachelor's degree","standard","completed","68","74","74"
"male","group D","some college","standard","none","73","63","60"
"female","group C","some high school","standard","none","49","55","55"
"female","group A","some college","standard","none","85","98","90"
"female","group C","high school","free/reduced","none","61","67","66"
"female","group D","high school","free/reduced","none","50","59","61"
"male","group D","some high school","standard","none","46","35","38"
"female","group E","some high school","standard","completed","90","97","96"
"male","group A","master's degree","free/reduced","none","82","84","79"
"male","group A","some college","standard","none","62","61","54"
"male","group E","bachelor's degree","standard","none","86","84","77"
"male","group C","some high school","free/reduced","completed","62","67","63"
"male","group C","bachelor's degree","standard","none","70","58","53"
"female","group D","associate's degree","standard","none","73","84","86"
"female","group C","associate's degree","standard","completed","73","78","80"
"female","group B","bachelor's degree","free/reduced","none","38","50","50"
"male","group E","some college","free/reduced","none","85","77","74"
"female","group D","some college","standard","none","79","93","90"
"female","group C","master's degree","standard","none","71","90","89"
"male","group B","bachelor's degree","standard","none","74","72","71"
"female","group C","bachelor's degree","standard","none","75","75","78"
"male","group B","some high school","standard","completed","64","64","65"
"female","group D","some college","free/reduced","completed","40","49","55"
"female","group B","associate's degree","standard","none","47","51","48"
"female","group C","associate's degree","standard","none","77","88","85"
"male","group B","master's degree","standard","completed","84","73","71"
"male","group E","some high school","standard","completed","76","70","71"
"female","group C","some high school","standard","none","31","39","42"
"female","group C","some college","standard","none","67","69","68"
"male","group B","some high school","standard","completed","75","70","64"
"female","group E","some college","free/reduced","none","61","64","59"
"female","group C","bachelor's degree","standard","completed","90","88","93"
"female","group D","associate's degree","free/reduced","none","79","86","80"
"male","group A","some college","standard","none","67","63","61"
"female","group B","some college","free/reduced","none","71","88","84"
"female","group C","bachelor's degree","free/reduced","completed","63","87","85"
"male","group B","bachelor's degree","standard","none","62","58","62"
"male","group E","some high school","free/reduced","none","83","70","65"
"male","group B","some college","free/reduced","completed","79","71","75"
"male","group B","associate's degree","standard","none","61","58","55"
"female","group A","some high school","free/reduced","none","48","62","61"
"female","group C","some high school","standard","none","71","71","73"
"female","group C","some high school","standard","none","81","82","81"
"female","group E","some high school","standard","none","80","94","82"
"female","group E","some high school","standard","completed","65","75","71"
"male","group D","high school","free/reduced","none","73","60","60"
"male","group A","master's degree","standard","completed","100","92","97"
"male","group B","some college","standard","none","79","75","71"
"male","group C","some high school","standard","completed","68","62","59"
"female","group D","some high school","free/reduced","none","43","53","53"
"female","group B","bachelor's degree","standard","none","69","74","80"
"female","group E","master's degree","standard","completed","78","81","83"
"male","group C","high school","standard","none","77","72","71"
"female","group A","bachelor's degree","standard","completed","56","57","59"
"female","group D","associate's degree","standard","none","87","92","96"
"female","group D","associate's degree","standard","none","66","73","75"
"female","group D","some college","free/reduced","none","60","73","80"
"female","group D","master's degree","standard","completed","87","94","98"
"male","group D","high school","standard","none","59","53","53"
"female","group B","high school","standard","none","55","60","59"
"male","group E","bachelor's degree","free/reduced","none","75","80","74"
"female","group C","some high school","standard","none","67","79","78"
"male","group C","some high school","standard","none","57","50","45"
"female","group D","associate's degree","standard","completed","86","90","91"
"female","group C","some high school","standard","none","66","81","77"
"female","group C","some college","standard","none","62","68","65"
"female","group B","bachelor's degree","standard","completed","92","100","100"
"female","group C","some college","standard","none","76","75","79"
"female","group D","associate's degree","free/reduced","none","51","67","70"
"female","group B","some college","standard","completed","54","73","76"
"female","group C","high school","standard","none","71","76","79"
"female","group C","some college","standard","completed","71","85","87"
"male","group B","associate's degree","standard","none","63","66","65"
"female","group C","associate's degree","standard","none","78","96","95"
"male","group C","high school","free/reduced","none","41","41","33"
"female","group B","associate's degree","standard","none","82","92","89"
"female","group B","high school","free/reduced","completed","82","82","91"
"male","group D","master's degree","standard","none","73","81","81"
"female","group C","bachelor's degree","free/reduced","completed","80","83","92"
"female","group C","some college","standard","none","71","67","74"
"male","group A","some college","standard","none","82","75","77"
"female","group C","high school","standard","completed","70","90","89"
"female","group C","some high school","free/reduced","none","59","65","64"
"female","group C","associate's degree","standard","none","74","78","81"
"female","group D","some high school","standard","none","81","86","84"
"male","group D","high school","standard","completed","87","83","83"
"male","group E","high school","standard","completed","100","100","100"
"male","group A","master's degree","free/reduced","completed","41","57","52"
"female","group D","bachelor's degree","standard","completed","92","100","100"
"male","group C","bachelor's degree","free/reduced","none","72","73","68"
"male","group A","some college","standard","none","72","60","64"
"male","group D","high school","standard","none","66","46","46"
"male","group B","bachelor's degree","standard","completed","70","63","64"
"female","group E","associate's degree","standard","none","70","82","74"
"female","group D","bachelor's degree","standard","none","51","62","62"
"male","group B","associate's degree","free/reduced","none","59","55","54"
"female","group C","associate's degree","standard","none","80","83","83"
"female","group A","bachelor's degree","standard","completed","84","99","100"
"female","group B","master's degree","free/reduced","completed","42","68","68"
"female","group C","some high school","standard","none","69","72","70"
"male","group A","associate's degree","standard","none","74","72","68"
"female","group B","some high school","free/reduced","none","37","63","57"
"male","group E","high school","free/reduced","completed","81","70","72"
"female","group C","bachelor's degree","standard","completed","40","53","57"
"male","group C","master's degree","free/reduced","none","70","74","67"
"male","group E","some high school","standard","none","74","63","60"
"male","group C","some high school","free/reduced","none","47","52","44"
"female","group B","associate's degree","standard","completed","69","86","91"
"male","group C","associate's degree","standard","completed","82","82","79"
"female","group E","bachelor's degree","standard","none","72","88","83"
"male","group C","high school","standard","none","64","54","49"
"female","group D","master's degree","standard","completed","56","67","75"
"male","group D","bachelor's degree","free/reduced","none","67","53","56"
"male","group D","some college","standard","completed","87","81","82"
"female","group B","bachelor's degree","standard","none","59","57","69"
"male","group C","associate's degree","standard","none","80","73","71"
"female","group A","some college","standard","completed","72","71","74"
"male","group D","bachelor's degree","free/reduced","none","85","80","88"
"female","group D","associate's degree","standard","none","56","57","63"
"female","group C","high school","standard","none","73","80","82"
"female","group E","some high school","standard","none","74","67","68"
"female","group B","bachelor's degree","standard","none","66","72","79"
"male","group E","bachelor's degree","standard","none","100","88","85"
"female","group B","bachelor's degree","standard","none","87","100","99"
"female","group D","high school","standard","completed","84","79","85"
"female","group C","bachelor's degree","standard","none","83","85","88"
"male","group A","some high school","standard","none","86","78","80"
"male","group D","high school","free/reduced","completed","50","47","48"
"male","group E","high school","free/reduced","completed","80","76","75"
"male","group E","bachelor's degree","standard","none","79","74","68"
"female","group D","associate's degree","free/reduced","completed","73","95","94"
"female","group C","high school","standard","completed","79","88","94"
"female","group B","some high school","free/reduced","none","46","57","50"
"male","group D","high school","standard","none","81","73","72"
"female","group E","some college","standard","none","56","64","65"
"female","group B","associate's degree","standard","none","77","83","79"
"female","group C","bachelor's degree","standard","none","65","74","71"
"male","group A","some high school","standard","none","50","41","38"
"female","group C","some college","standard","none","52","66","64"
"female","group C","associate's degree","standard","completed","81","81","89"
"female","group C","bachelor's degree","standard","none","72","71","71"
"female","group A","master's degree","standard","completed","50","56","60"
"male","group E","associate's degree","standard","none","82","77","77"
"female","group C","some college","free/reduced","none","37","55","51"
"female","group B","associate's degree","standard","none","68","69","73"
"female","group E","high school","free/reduced","none","56","52","52"
"male","group C","some college","standard","none","64","55","53"
"male","group E","associate's degree","free/reduced","none","67","64","54"
"female","group C","some high school","standard","completed","57","60","64"
"male","group C","some high school","standard","none","75","76","75"
"male","group C","master's degree","standard","completed","80","80","83"
"female","group C","associate's degree","standard","none","59","68","68"
"male","group D","some college","standard","none","74","68","74"
"female","group D","some high school","standard","none","56","62","57"
"male","group C","bachelor's degree","standard","none","56","43","46"
"female","group D","high school","standard","none","42","38","41"
"female","group E","some high school","standard","none","89","90","88"
"female","group D","bachelor's degree","standard","completed","77","80","80"
"male","group B","some high school","standard","completed","51","50","50"
"female","group B","high school","standard","none","63","77","72"
"female","group A","some college","standard","completed","74","87","86"
"female","group C","some college","standard","none","85","87","91"
"male","group B","bachelor's degree","standard","none","73","75","68"
"female","group C","some college","free/reduced","none","60","66","69"
"female","group D","high school","standard","completed","69","75","81"
"male","group B","some high school","standard","completed","65","63","58"
"male","group C","associate's degree","standard","none","52","47","38"
"male","group C","some college","free/reduced","none","33","44","39"
"male","group B","some high school","standard","none","52","49","48"
"male","group D","associate's degree","standard","none","86","92","88"
"female","group D","master's degree","free/reduced","none","63","83","78"
"female","group B","high school","standard","none","57","65","68"
"male","group D","some high school","free/reduced","completed","53","53","51"
"female","group B","associate's degree","standard","completed","89","100","100"
"male","group D","some high school","standard","completed","74","62","61"
"female","group D","high school","standard","completed","62","70","73"
"female","group B","bachelor's degree","standard","none","65","76","77"
"female","group E","high school","free/reduced","completed","81","98","96"
