"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group B","bachelor's degree","free/reduced","none","40","48","43"
"male","group C","some college","standard","completed","88","88","84"
"male","group B","associate's degree","free/reduced","none","64","61","62"
"male","group D","some college","free/reduced","none","78","76","74"
"female","group C","some college","standard","none","57","66","66"
"male","group D","some college","free/reduced","completed","66","59","68"
"male","group C","high school","free/reduced","none","48","40","29"
"female","group C","some college","standard","completed","76","73","82"
"male","group B","some high school","standard","none","73","75","74"
"male","group B","high school","standard","none","70","67","65"
"male","group C","some college","free/reduced","completed","88","79","81"
"female","group C","some college","free/reduced","none","69","82","73"
"male","group D","bachelor's degree","standard","none","72","71","69"
"female","group D","bachelor's degree","standard","completed","85","90","97"
"female","group B","associate's degree","standard","none","81","85","82"
"male","group C","some college","standard","completed","94","92","90"
"male","group D","some college","standard","completed","71","71","67"
"male","group D","bachelor's degree","standard","completed","92","86","89"
"female","group B","associate's degree","standard","none","73","79","77"
"female","group D","high school","free/reduced","completed","45","67","69"
"male","group C","some college","free/reduced","none","30","39","31"
"female","group B","bachelor's degree","standard","none","69","72","71"
"male","group B","associate's degree","standard","completed","88","84","91"
"female","group C","some college","standard","none","64","71","73"
"male","group D","associate's degree","standard","none","87","67","65"
"female","group C","some college","standard","none","66","74","72"
"male","group E","some college","free/reduced","none","84","78","71"
"female","group C","high school","standard","none","83","88","88"
"male","group B","some college","free/reduced","none","52","54","51"
"female","group C","some college","standard","none","69","61","67"
"female","group C","some college","standard","completed","52","70","73"
"male","group A","high school","free/reduced","completed","48","48","50"
"female","group D","some college","standard","none","70","78","82"
"male","group C","some college","standard","none","60","56","53"
"female","group C","bachelor's degree","free/reduced","none","60","74","73"
"female","group E","some high school","standard","none","94","93","91"
"male","group D","master's degree","standard","none","82","82","75"
"male","group C","master's degree","standard","completed","79","70","71"
"female","group E","some college","standard","none","81","90","91"
"female","group E","high school","standard","none","94","100","96"
"male","group B","some college","standard","none","60","50","49"
"male","group B","associate's degree","standard","completed","86","85","85"
"female","group D","some college","standard","completed","75","84","85"
"female","group D","some high school","free/reduced","completed","41","53","58"
"female","group A","some college","standard","none","61","78","71"
"female","group B","associate's degree","standard","completed","61","58","67"
"male","group C","associate's degree","standard","completed","71","69","69"
"male","group B","bachelor's degree","free/reduced","none","80","79","77"
"male","group B","bachelor's degree","standard","none","63","61","57"
"male","group A","associate's degree","free/reduced","none","54","59","53"
"female","group B","some college","standard","none","87","89","86"
"female","group B","some college","standard","none","61","70","68"
"female","group C","associate's degree","standard","none","50","58","63"
"female","group D","bachelor's degree","standard","none","96","95","98"
"female","group C","high school","standard","completed","91","89","88"
"male","group D","some college","standard","none","68","72","69"
"male","group B","some high school","free/reduced","none","55","49","40"
"female","group E","associate's degree","standard","none","85","94","95"
"female","group C","some college","standard","completed","88","97","95"
"female","group C","some high school","standard","completed","51","62","67"
"male","group A","bachelor's degree","free/reduced","none","53","46","45"
"male","group D","high school","standard","none","93","85","83"
"female","group C","some college","standard","completed","74","94","92"
"male","group C","some college","standard","none","60","67","63"
"female","group A","some high school","standard","none","70","74","76"
"male","group D","associate's degree","standard","completed","75","78","81"
"male","group E","high school","standard","completed","79","75","80"
"female","group C","some college","free/reduced","none","76","77","83"
"male","group C","some high school","standard","none","52","49","39"
"female","group C","master's degree","standard","none","73","79","78"
"male","group D","associate's degree","standard","completed","91","89","92"
"female","group C","high school","free/reduced","completed","50","69","67"
"male","group B","some college","standard","none","80","76","73"
"male","group B","some high school","standard","completed","62","60","55"
"male","group C","some college","free/reduced","completed","68","66","66"
"female","group D","some college","standard","completed","70","89","94"
"male","group C","some college","standard","none","68","68","66"
"male","group D","some college","free/reduced","none","53","58","53"
"male","group D","some college","standard","none","67","58","59"
"female","group C","high school","standard","completed","40","48","50"
"female","group C","high school","standard","completed","64","69","74"
"female","group E","some college","standard","none","55","70","70"
"female","group C","some college","standard","none","57","73","70"
"female","group D","high school","standard","none","62","69","69"
"female","group C","associate's degree","standard","completed","85","94","100"
"female","group C","bachelor's degree","standard","none","63","63","63"
