"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group C","associate's degree","free/reduced","none","42","58","57"
"male","group C","some college","free/reduced","none","64","64","59"
"female","group D","master's degree","standard","none","80","77","81"
"male","group C","high school","standard","none","57","48","37"
"female","group B","bachelor's degree","standard","completed","55","65","70"
"female","group D","associate's degree","free/reduced","none","67","61","68"
"female","group D","some college","free/reduced","completed","70","86","87"
"male","group D","high school","free/reduced","none","63","54","60"
"male","group B","some high school","standard","none","77","66","62"
"female","group A","high school","standard","completed","70","80","79"
"male","group D","associate's degree","standard","none","68","76","72"
"male","group D","some college","standard","completed","84","80","81"
"female","group C","some high school","standard","none","36","54","49"
"male","group C","associate's degree","standard","none","73","80","72"
"female","group D","some high school","standard","none","54","57","57"
"male","group D","some high school","free/reduced","none","46","48","46"
"female","group C","some college","standard","none","68","74","73"
"female","group C","high school","free/reduced","none","53","73","61"
"male","group D","some college","free/reduced","completed","64","49","64"
"female","group D","some college","standard","none","68","64","67"
"female","group D","master's degree","standard","none","72","82","86"
"female","group D","bachelor's degree","standard","completed","81","95","97"
"female","group E","some college","standard","none","73","81","85"
"male","group C","bachelor's degree","standard","none","90","82","80"
"male","group B","high school","standard","none","56","55","50"
"male","group D","some high school","standard","none","91","75","75"
"female","group D","some high school","standard","none","66","70","73"
"male","group E","associate's degree","standard","none","81","66","69"
"male","group D","some high school","free/reduced","none","55","48","48"
"female","group D","some high school","standard","none","59","67","58"
"female","group D","some high school","standard","completed","87","100","100"
"female","group C","some college","free/reduced","completed","21","40","38"
"female","group D","some high school","standard","none","85","91","89"
"female","group D","some high school","standard","none","61","67","65"
"male","group E","high school","standard","none","82","72","70"
"male","group A","associate's degree","free/reduced","none","73","70","66"
"male","group C","some high school","standard","completed","83","77","81"
"male","group D","associate's degree","standard","none","62","63","64"
"male","group B","some high school","free/reduced","none","46","58","48"
"female","group E","high school","standard","none","59","65","64"
"female","group A","master's degree","standard","none","89","94","97"
"male","group A","bachelor's degree","standard","none","61","58","62"
"female","group A","some college","standard","completed","75","77","73"
"male","group D","some college","free/reduced","completed","57","51","58"
"male","group C","high school","standard","completed","82","75","68"
"female","group E","some high school","standard","none","70","77","69"
"male","group D","some college","standard","completed","80","76","72"
"female","group B","associate's degree","free/reduced","none","60","59","56"
"female","group C","some high school","standard","none","57","57","54"
"female","group C","bachelor's degree","standard","completed","82","86","91"
"female","group C","high school","free/reduced","none","69","78","71"
"female","group D","some high school","free/reduced","none","54","67","61"
"male","group E","associate's degree","free/reduced","completed","78","61","62"
"female","group D","bachelor's degree","free/reduced","none","65","75","81"
"male","group C","some college","standard","completed","89","84","88"
"female","group C","some college","free/reduced","none","50","55","53"
"female","group E","high school","standard","completed","96","100","100"
"male","group A","associate's degree","standard","none","81","73","71"
"male","group C","high school","standard","none","79","70","70"
"male","group B","some high school","free/reduced","none","51","53","46"
"male","group C","associate's degree","standard","completed","88","82","87"
"male","group B","associate's degree","standard","none","74","69","68"
"female","group C","some high school","free/reduced","completed","34","58","56"
"male","group A","high school","free/reduced","none","43","45","35"
"male","group B","some college","standard","none","57","55","48"
"male","group D","bachelor's degree","standard","none","83","83","84"
"male","group A","high school","standard","none","69","60","59"
"female","group C","master's degree","standard","completed","58","63","62"
"male","group B","some high school","free/reduced","none","56","55","50"
"male","group B","bachelor's degree","standard","completed","63","70","67"
"male","group D","bachelor's degree","standard","completed","87","79","86"
"female","group C","bachelor's degree","free/reduced","completed","65","81","81"
"female","group B","associate's degree","free/reduced","none","61","62","60"
"female","group C","some college","standard","none","71","76","73"
"male","group E","some high school","standard","completed","100","94","91"
